hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166974
sparsity;0.53668022
a-priori fpp;0.00045692
fpp;0.00045584
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
182;148;1405;1;1401;0.94978702;0.94726169;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
183;146;1388;0;1388;0.95111036;0.95068491;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
184;144;1371;3;1378;0.95241743;0.95894223;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
185;142;1353;1;1346;0.95370811;0.94855535;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
186;140;1336;2;1344;0.95498228;0.96137339;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
187;138;1319;0;1325;0.95623994;0.96014494;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
188;136;1301;1;1299;0.95748097;0.95584989;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
189;134;1284;0;1273;0.95870537;0.94999999;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
190;132;1266;1;1266;0.95991296;0.95981807;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
191;130;1249;0;1247;0.96110380;0.95923078;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
192;128;1231;0;1232;0.96227771;0.96249998;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
193;126;1213;0;1215;0.96343476;0.96428573;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
194;124;1195;0;1202;0.96457469;0.96935487;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
195;122;1177;1;1181;0.96569765;0.96882689;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
196;120;1160;3;1169;0.96680343;0.97660822;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
197;118;1141;0;1143;0.96789199;0.96864408;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
198;116;1123;1;1115;0.96896333;0.96203625;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
199;114;1105;0;1099;0.97001737;0.96403509;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
200;112;1087;1;1083;0.97105402;0.96782839;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
201;110;1069;0;1067;0.97207326;0.97000003;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
202;108;1050;1;1046;0.97307497;0.96941614;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
203;106;1032;2;1028;0.97405910;0.97164464;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
204;104;1014;0;1014;0.97502571;0.97500002;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
205;102;995;0;995;0.97597462;0.97549021;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
206;100;976;1;974;0.97690582;0.97497499;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
207;98;958;1;961;0.97781926;0.98161387;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
208;96;939;1;947;0.97871488;0.98748696;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
209;94;920;0;920;0.97959268;0.97872341;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
210;92;902;0;904;0.98045254;0.98260868;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
211;90;883;1;885;0.98129439;0.98442715;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
212;88;864;1;865;0.98211831;0.98407280;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
213;86;845;0;844;0.98292410;0.98139536;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
214;84;826;1;824;0.98371184;0.98212159;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
215;82;807;0;805;0.98448139;0.98170733;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
216;80;788;0;787;0.98523277;0.98374999;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
217;78;769;0;774;0.98596597;0.99230766;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
218;76;750;0;746;0.98668081;0.98157895;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
