hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166166
sparsity;0.53590965
a-priori fpp;0.00045692
fpp;0.00046347
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
143;226;2001;1;1999;0.88630241;0.88490480;0.00000000;0.00000000;0.00000000;0.00000008;0.00000000;0.99999994
144;224;1987;3;1993;0.88819778;0.89092535;0.00000000;0.00000000;0.00000000;0.00000007;0.00000000;0.99999994
145;222;1974;4;1968;0.89008021;0.88808662;0.00000000;0.00000000;0.00000000;0.00000006;0.00000000;0.99999994
146;220;1960;4;1959;0.89194965;0.89207649;0.00000000;0.00000000;0.00000000;0.00000005;0.00000000;0.99999994
147;218;1946;4;1969;0.89380592;0.90487134;0.00000000;0.00000000;0.00000000;0.00000004;0.00000000;0.99999994
148;216;1933;3;1920;0.89564902;0.89012516;0.00000000;0.00000000;0.00000000;0.00000003;0.00000000;0.99999994
149;214;1919;3;1934;0.89747876;0.90500700;0.00000000;0.00000000;0.00000000;0.00000003;0.00000000;1.00000000
150;212;1905;4;1910;0.89929515;0.90264648;0.00000000;0.00000000;0.00000000;0.00000002;0.00000000;1.00000000
151;210;1890;3;1921;0.90109795;0.91607058;0.00000000;0.00000000;0.00000000;0.00000002;0.00000000;1.00000000
152;208;1876;0;1883;0.90288723;0.90528846;0.00000000;0.00000000;0.00000000;0.00000002;0.00000000;1.00000000
153;206;1862;0;1859;0.90466273;0.90242720;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
154;204;1847;2;1824;0.90642446;0.89499509;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
155;202;1833;0;1851;0.90817231;0.91633666;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
156;200;1818;0;1821;0.90990615;0.91049999;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
157;198;1803;3;1791;0.91162592;0.90591806;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
158;196;1788;1;1790;0.91333157;0.91373152;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
159;194;1774;3;1782;0.91502291;0.91997933;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
160;192;1758;1;1758;0.91669989;0.91610211;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
161;190;1743;1;1743;0.91836244;0.91785151;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
162;188;1728;4;1715;0.92001045;0.91417909;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
163;186;1713;0;1724;0.92164385;0.92688173;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
164;184;1697;2;1699;0.92326254;0.92437434;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
165;182;1682;1;1676;0.92486644;0.92138535;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
166;180;1666;1;1651;0.92645544;0.91773206;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
167;178;1650;1;1675;0.92802948;0.94154018;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
168;176;1635;3;1634;0.92958844;0.92999429;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
169;174;1619;0;1612;0.93113226;0.92643678;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
170;172;1603;1;1612;0.93266088;0.93775451;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
171;170;1587;3;1591;0.93417418;0.93753684;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
172;168;1571;0;1571;0.93567210;0.93511903;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
173;166;1554;2;1562;0.93715453;0.94209892;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
174;164;1538;4;1544;0.93862140;0.94376528;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
